gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
HEXA-AS1,0.070900455,1.0208879,0.9434769818206753,1.0,1.0208879,False
LINC00475,0.0708539,0.61408144,0.943514038212861,1.0,0.61408144,False
RP11-318E3.9,0.070845425,0.5543424,0.9435207757518493,1.0,0.5543424,False
AC098820.4,0.070845425,0.52225035,0.9435207757518493,1.0,0.52225035,False
BRINP1,0.070388295,0.058513522,0.9438846088451655,1.0,0.058513522,False
RP1-239B22.5,0.06978724,-0.9080047,0.9443629997901005,1.0,0.9080047,False
RP11-603J24.17,0.069116354,1.308931,0.9448970021071925,1.0,1.308931,False
RP11-661A12.7,0.069116354,1.2633616,0.9448970021071925,1.0,1.2633616,False
ALOX12B,0.06908249,0.8297461,0.9449239555639866,1.0,0.8297461,False
RP11-599B13.7,0.06908249,0.7818374,0.9449239555639866,1.0,0.7818374,False
AC090587.5,0.06907826,1.0877343,0.9449273247505198,1.0,1.0877343,False
RP11-20G13.3,0.06907403,0.81526244,0.9449306939380381,1.0,0.81526244,False
RP11-403P17.6,0.06906133,0.405373,0.9449408015065031,1.0,0.405373,False
RP5-1021I20.4,0.0690317,0.36162308,0.9449643858673893,1.0,0.36162308,False
RP11-48B3.4,0.069019005,0.16208848,0.9449744934653942,1.0,0.16208848,False
BTK,0.069019005,-0.48605,0.9449744934653942,1.0,0.48605,False
RP11-407P15.2,0.068866625,-0.015918663,0.9450957853319517,1.0,0.015918663,False
TMEM86A,0.06853435,-0.31444737,0.9453602733953312,1.0,0.31444737,False
C12orf66,0.06802219,-0.33836713,0.9457679674198141,1.0,0.33836713,False
ANGPTL4,0.06750157,-0.69793916,0.9461824147456216,1.0,0.69793916,False
EAF1-AS1,0.067446545,0.9211578,0.946226218974526,1.0,0.9211578,False
CTD-3220F14.3,0.06731109,1.2970613,0.9463340454610849,1.0,1.2970613,False
ZYG11A,0.06731109,0.51553845,0.9463340454610849,1.0,0.51553845,False
RP1-28H20.3,0.0672984,1.2436675,0.946344154244632,1.0,1.2436675,False
RP11-295H24.4,0.06728993,1.0710602,0.9463508934384627,1.0,1.0710602,False
